Name,Label,Natri (mg),Kali (mg),Clorid (mg),Calci (mg),Phospho (mg),Magnesi (mg),Mangan (μg),Sắt (mg),I-ốt (μg),Kẽm (mg),Đồng (mg),Selen (μg),Vitamin A (IU),Vitamin D3 (IU),Vitamin E (mg α-TE),Vitamin K1 (μg),Vitamin C (mg),Vitamin B1 (mg),Vitamin B2 (mg),Niacin (mg),Vitamin B6 (mg),Acid folic (μg),Acid pantothetic (mg),Vitamin B12 (μg),Biotin (μg),Cholin (mg),Vitamin K2 (μg),Acid linoleic (mg),Acid alpha-linolenic (mg),ARA (Arachidonic acid) (mg),DHA (Docosahexaenoic acid) (mg),Acid Oleic (mg),PUFA (g),MUFA (g),MCT (g),Năng lượng (kcal),Chất đạm (g),Tryptophan (mg),Chất béo (g),Hyđrat cacbon (g),Chất xơ hòa tan (g),GOS (g),2′-Fucosyllactose (2′-FL) (mg),Taurin (mg),Inositol (mg),L-Carnitin (mg),Nucleotid (mg),Lutein (μg),Độ ẩm (g),Bifidobacterium (cfu),Lactobacillus rhamnosus (cfu),Acid pantothenic (mg),Lysin (mg),Beta-caroten (μg),Collagen (g),Molybden (μg),Vitamin PP (mg),Crôm (μg),Phosphatidylserine (mg),Acid Folic (μg),Acid Pantothenic (μg),Niacin (μg),2'-Fucosyllactose (2'-FL) (mg),AA (mg),DHA (mg),Vitamin E (IU),CaHMB (g),YBG (mg),Vitamin B9 (mcg),Vitamin B5 (mg),Canxi (mg),Cholesterol (mg),Vitamin B3 (mg)
Vinamilk Dielac Grow Plus Tổ Yến,Mọi lứa tuổi,200,850,430,810.0,530,55.0,850.0,7.0,110.0,6.5,0.35,20.0,1750,420.0,8.0,31.0,55.0,1.0,1.0,7.0,1.1,140.0,,2.2,18.0,120.0,,2500.0,200.0,11.0,40.0,0.0,0.0,0.0,3.5,488,17.5,190.0,24.0,49.7,1.8,0.0,110.0,44.0,0.0,0.0,0.0,0.0,3.0,100000000.0,,3.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Dielac Grow,2-10 tuổi,220,850,500,810.0,530,100.0,900.0,7.7,110.0,6.5,0.4,23.0,1500,416.0,8.5,32.0,55.0,1.1,1.2,7.0,1.0,150.0,,2.2,22.0,150.0,,1600.0,250.0,0.0,20.0,0.0,0.0,0.0,2.5,467,17.0,0.0,20.5,52.5,3.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,3.0,100000000.0,100000000.0,3.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Dielac Alpha,0-6 tháng,150,550,270,425.0,315,35.0,60.0,6.0,85.0,3.5,0.35,13.0,1350,312.0,6.0,23.0,65.0,0.43,0.6,5.0,0.2,80.0,,0.8,13.0,90.0,,4500.0,350.0,50.0,50.0,0.0,0.0,0.0,0.0,516,11.2,0.0,28.0,54.3,1.0,0.0,0.0,34.0,24.0,12.0,0.0,70.0,3.0,100000000.0,100000000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Dielac Alpha,6-12 tháng,200,650,350,475.0,385,45.0,75.0,6.0,95.0,3.6,0.35,13.0,1600,336.0,6.0,23.0,65.0,0.5,0.9,4.5,0.29,85.0,,1.3,15.0,95.0,,3600.0,300.0,50.0,50.0,0.0,0.0,0.0,0.0,498,16.2,0.0,25.0,51.8,1.0,0.0,0.0,39.0,24.0,12.0,0.0,70.0,3.0,100000000.0,100000000.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Dielac Alpha,1-2 tuổi,196,895,460,620.0,500,89.0,86.0,8.5,110.0,5.3,0.34,20.0,1600,412.0,7.3,19.0,55.0,0.58,1.0,7.0,0.73,110.0,,1.4,15.0,110.0,,2300.0,230.0,22.0,22.0,0.0,0.0,0.0,0.0,463,17.0,0.0,19.0,55.2,2.0,0.0,0.0,55.0,0.0,0.0,0.0,110.0,3.0,100000000.0,100000000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Dielac Alpha,2-6 tuổi,220,895,460,620.0,500,60.0,86.0,8.0,110.0,5.4,0.36,20.0,1600,412.0,8.0,20.0,56.0,0.6,1.0,7.5,0.75,110.0,,1.4,15.0,110.0,,2300.0,220.0,11.0,22.0,0.0,0.0,0.0,0.0,458,17.0,0.0,18.0,56.2,2.0,0.0,0.0,55.0,0.0,0.0,0.0,110.0,3.0,100000000.0,100000000.0,3.4,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Vinamilk Sure Prevent Gold,Người cao tuổi,365,785,300,700.0,342,85.0,1400.0,6.0,80.0,5.2,0.55,23.0,1800,420.0,,38.0,56.0,1.1,1.1,,1.2,180.0,,2.0,24.0,185.0,30.0,,,,40.0,0.0,7.0,4.5,,431,18.0,240.0,15.0,54.5,4.0,,,50.0,,,,,4.0,,,4.4,,125.0,1.2,43.0,8.6,40.0,65.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Vinamilk Canxi Pro,Người cao tuổi,300,1100,500,1520.0,700,190.0,1000.0,7.2,66.0,5.2,0.55,34.0,2000,18.0,,0.0,1.3,1.4,10.0,,10.0,180.0,,2.6,21.0,120.0,90.0,,,,0.0,0.0,0.0,0.0,,377,25.5,0.0,5.0,56.0,4.0,,,0.0,,,,,3.0,,,3.8,,0.0,0.0,26.0,1.4,23.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Nutifood Grow Plus cho Trẻ biếng ăn,Trẻ biếng ăn,145,530,400,540.0,400,47.0,,5.4,80.0,6.0,,5.0,1850,330.0,0.804,18.0,16.0,0.526,,,,,,1.8,11.0,,,,,,,0.0,,,1.2,458,15.0,,9.0,56.0,2.2,,,,,,,,,,,,1500.0,,,,,,,130,2630.0,6000.0,106,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
Nutifood Grow Plus cho Trẻ suy dinh dưỡng,Trẻ suy dinh dưỡng,200,550,400,,550,50.0,,8.0,80.0,6.6,,5.0,1950,330.0,0.804,28.0,16.0,0.45,0.8,,,,,2.2,11.0,60.0,,,,,,0.0,,,1.6,472,17.0,,20.5,54.0,2.2,,,40.0,,,,,,,,,1500.0,,,,,,,180,2400.0,6000.0,106,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0
